ID	V6	V7	V9	V11	P6	P7	P9	P11	T6	T7	T9	T11	age6	sex	race	moedu	moeducat	faedu	faeducat
  0	24.4196428571	26.9791666667	39.6130952381	55.6398809524	19.8359367671	22.9693217	43.9024533258	44.1868374144	22.1277898121	24.9742441833	41.757774282	49.9133591834	5.83333333333	1	1	4	0	4	0
  1	12.4404761905	14.375	21.9196428571	37.8125	5.89877099165	13.4388779435	18.2866591613	40.3839478375	9.16962359106	13.9069389718	20.1031510092	39.0982239188	5.91666666667	2	2	6	0	5	0
  2	32.4255952381	33.5119047619	34.3005952381	50.1785714286	27.6382634393	45.0219298246	46.9943240454	77.7161319073	30.0319293387	39.2669172932	40.6474596418	63.9473516679	6.33333333333	1	1	2	2	3	1
  3	22.693452381	28.3928571429	42.1577380952	44.7172619048	33.1581292804	29.6770334928	45.9721831316	61.6640866873	27.9257908307	29.0349453178	44.0649606134	53.190674296	6.33333333333	2	1	2	2	2	2
  4	28.2291666667	37.8125	41.056547619	70.9523809524	27.6382634393	44.4177455671	65.4753025612	64.2176798949	27.933715053	41.1151227836	53.2659250901	67.5850304237	6.16666666667	1	1	3	1	3	1
  5	16.056547619	20.119047619	38.0208333333	39.9404761905	8.4455624355	15.778450136	26.9871704663	39.0819964349	12.2510550273	17.9487488775	32.5040018998	39.5112363127	5.66666666667	1	1	2	2	2	2
  6	8.49702380952	16.4880952381	28.7053571429	40.8333333333	4.84778121775	17.2387184539	30.7510085374	41.0270663289	6.67240251364	16.863406846	29.7281828401	40.9301998311	6.16666666667	2	2	4	0	6	0
  7	14.1071428571	20.9226190476	21.5327380952	25.6845238095	18.7196266066	21.4298949245	33.6341354724	42.3563420584	16.4133847319	21.176256986	27.5834367838	34.0204329339	6.08333333333	2	2	6	0	6	0
  8	15.5208333333	23.3630952381	37.4107142857	45.5208333333	13.3720330237	20.1300544141	35.3633080026	38.5276526879	14.4464331785	21.7465748261	36.3870111442	42.0242430106	6.08333333333	2	1	4	0	4	0
  9	20.0744047619	33.3779761905	37.7083333333	48.6458333333	15.2637442537	23.6676752041	42.5902992776	48.3913828689	17.6690745078	28.5228256973	40.1493163055	48.5186081011	5.91666666667	2	1	3	1	4	0
 11	21.5922619048	30.9970238095	41.3839285714	55.0	14.2944929168	27.2422366076	32.6917393752	48.1686837414	17.9433774108	29.1196302085	37.0378339733	51.5843418707	5.75	1	1	3	1	4	0
 14	15.5654761905	19.7023809524	26.681547619	34.0922619048	11.1219392063	19.849305751	32.8655361666	35.6071160522	13.3437076984	19.7758433517	29.7735418928	34.8496889785	6.25	1	2	4	0	4	0
 15	20.0297619048	25.4166666667	22.4255952381	30.8928571429	11.4628482972	16.8762313538	28.1806454639	34.3179472746	15.746305101	21.1464490102	25.303120351	32.6054022087	5.58333333333	2	2	4	0	7	0
 16	22.7529761905	29.4494047619	32.9910714286	46.9047619048	18.5889858336	35.6116896519	36.8088000751	56.1962895206	20.670981012	32.5305472069	34.8999357518	51.5505257127	6.0	2	1	3	1	3	1
 17	18.0505952381	27.0386904762	27.2470238095	32.3958333333	10.5069659443	23.1915517403	38.2541748757	52.011797542	14.2787805912	25.1151211083	32.7505993426	42.2038154377	5.75	1	1	3	1	5	0
 21	22.5446428571	26.681547619	28.3333333333	41.9791666667	23.2732901773	30.0918238109	44.7009569378	45.5062623135	22.9089665172	28.386685715	36.5171451356	43.7427144901	5.91666666667	2	1	2	2	3	1
 23	11.2202380952	19.4494047619	21.7113095238	39.2857142857	10.0966319542	29.5093348344	28.5756168496	32.8124120462	10.6584350247	24.4793697982	25.1434631867	36.0490631659	6.0	2	2	4	0	4	0
 24	22.9613095238	25.2678571429	27.4404761905	30.5357142857	18.8481564875	27.0314992026	39.2835866404	46.4086687307	20.9047330056	26.1496781727	33.3620314154	38.4721915082	6.41666666667	2	2	4	0	6	0
 27	15.625	20.1785714286	29.4345238095	38.7946428571	32.0500281452	27.2587719298	42.3101369734	51.3392438315	23.8375140726	23.7186716792	35.8723303915	45.0669433443	6.25	2	1	3	1	3	1
 28	17.931547619	29.0773809524	39.4196428571	55.1636904762	31.5882118398	36.7752603434	53.4720658598	58.4863730181	24.7598797294	32.9263206479	46.4458543585	56.8250317471	5.75	2	1	3	1	2	2
 29	21.0267857143	28.3928571429	39.375	60.3869047619	17.6583169153	21.6140116334	40.0090299278	46.6745238765	19.3425513148	25.0034343881	39.6920149639	53.5307143192	7.33333333333	1	1	3	1	2	2
 30	21.5029761905	20.8035714286	30.0	54.2708333333	10.15010789	20.3506426494	42.1650717703	59.6120649217	15.8265420403	20.577107039	36.0825358852	56.9414491275	5.83333333333	2	1	6	0	6	0
 31	20.2976190476	28.1398809524	27.380952381	30.6845238095	17.4562576227	17.6902148419	33.6115020171	43.3111689652	18.8769383351	22.9150478971	30.496227199	36.9978463874	6.08333333333	1	2	3	1	3	1
 32	15.3273809524	18.8839285714	21.9642857143	31.6369047619	8.90268786941	20.4427010038	33.8521437283	40.2789895863	12.1150344109	19.6633147876	27.9082147213	35.9579471741	5.58333333333	1	2	4	0	4	0
 33	15.6398809524	14.4791666667	16.6666666667	27.2916666667	12.2490383713	19.6970869688	27.7066328924	39.1442677549	13.9444596619	17.0881268177	22.1866497795	33.2179672108	6.16666666667	2	2	4	0	5	0
 34	25.818452381	35.2083333333	45.4166666667	66.5178571429	35.2461534853	36.7830002815	56.2502345436	68.5790177315	30.5323029331	35.9956668074	50.8334506051	67.5484374372	5.91666666667	1	1	3	1	4	0
 35	24.8363095238	30.8630952381	47.5446428571	56.6964285714	24.8538793508	42.8427854395	62.8842996529	64.0705037996	24.8450944373	36.8529403388	55.214471255	60.3834661855	5.58333333333	1	1	2	2	1	2
 36	28.5714285714	34.3154761905	44.0178571429	62.2321428571	32.2839853645	46.1937095412	44.0569002721	61.1324936673	30.427706968	40.2545928659	44.0373787075	61.6823182622	5.83333333333	2	1	1	2	1	2
 37	21.0714285714	25.0892857143	40.1785714286	56.1458333333	28.5756168496	40.0337742753	48.4309034619	57.3100197017	24.8235227105	32.5615299948	44.3047374452	56.7279265175	5.91666666667	2	1	2	2	1	2
 38	17.1577380952	20.625	34.8363095238	37.8869047619	13.3036635707	22.8053757388	36.4200440942	62.1994324045	15.230700833	21.7151878694	35.628176809	50.0431685832	5.75	1	2	2	2	3	1
 39	27.5595238095	33.6458333333	51.0714285714	64.2708333333	25.163476874	37.9286283892	47.4241251525	54.3954639272	26.3615003418	35.7872308612	49.2477768619	59.3331486303	5.66666666667	1	1	3	1	3	1
 41	27.8273809524	37.8720238095	36.5476190476	50.8482142857	20.0939347031	31.7804203021	51.3365465804	60.0347124496	23.9606578277	34.8262220558	43.942082814	55.4414633676	6.5	2	1	3	1	3	1
 42	18.6011904762	32.6041666667	39.2708333333	54.8660714286	21.9816586922	40.8549113425	48.4966929355	49.5157847828	20.2914245842	36.7295390046	43.8837631344	52.1909281057	6.58333333333	2	2	5	0	6	0
